,Song,Artist,Year,SongID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,artist_popularity,artist_genres,top_genre,genre_code,top10,top5
537,Time Of Our Lives,Pitbull & Ne-Yo,2015,2bJvI42r8EF3wxjOuDav4r,0.0921,0.72,229360,0.802,0.0,1,0.694,-5.797,0.0582,124.043,4,0.723,87,"dance pop,latin,miami hip hop,pop,pop rap",pop,36,0,0
538,Locked Away,R. City Featuring Adam Levine,2015,7x5xYW5W42OGPAdHUyyguy,0.304,0.509,227480,0.671,0.0,1,0.0452,-5.709,0.0678,118.413,5,0.55,66,"reggae fusion,virgin islands reggae",reggae fusion,43,0,0
539,Somebody,Natalie La Rose Featuring Jeremih,2015,7ioiB40H9xKs04QtIso2I3,0.000792,0.83,189907,0.52,1.25e-05,0,0.0656,-8.714,0.0376,104.99,4,0.735,56,,,0,0,0
540,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,2015,78TTtXnFQPzwqlbtbwqN0y,0.875,0.582,188238,0.272,0.0,2,0.13,-5.662,0.0501,205.846,4,0.354,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
541,Centuries,Fall Out Boy,2015,04aAxqtGp5pv12UXAg4pkq,0.00359,0.393,228360,0.858,0.0,4,0.102,-2.868,0.0729,176.042,4,0.56,83,"emo,modern rock,pop punk",modern rock,34,0,0
542,My Way,Fetty Wap Featuring Monty,2015,7zpZQzTwWBN0eOsmb4WPH3,0.00419,0.748,213053,0.741,0.0,6,0.147,-3.103,0.0531,128.077,4,0.537,77,"new jersey rap,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
543,Take Your Time,Sam Hunt,2015,6DEaND0SHv3sC11xobZLiy,0.101,0.558,243707,0.719,0.0,11,0.212,-5.603,0.0419,158.031,4,0.483,77,"contemporary country,country pop",contemporary country,12,0,0
544,Animals,Maroon 5,2015,2bL2gyO6kBdLkNSkxXNh6x,0.000185,0.279,231013,0.742,0.0,4,0.593,-6.46,0.0898,189.868,4,0.328,91,"pop,pop rock",pop,36,0,0
545,I Don't F**k With You,Big Sean Featuring E-40,2015,7FYH5AW3bVfZHJIQpq3UOA,0.0362,0.824,284387,0.733,0.0,1,0.325,-5.474,0.0613,97.972,4,0.395,86,"detroit hip hop,hip hop,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
546,B**** Better Have My Money,Rihanna,2015,0NTMtAO2BV4tnGvw9EgBVq,0.0509,0.781,219306,0.728,1.94e-06,1,0.257,-4.981,0.0621,102.99,4,0.395,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
547,Flex (Ooh Ooh Ooh),Rich Homie Quan,2015,4T0ScSPdQKmGvruK7pavNP,0.0389,0.726,176744,0.607,0.0,2,0.19,-7.68,0.0498,81.997,4,0.891,70,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
548,Nasty Freestyle,T-Wayne,2015,0PT7nlpo11hYYyfnBgtilT,0.0577,0.779,142212,0.472,0.0,11,0.114,-7.116,0.218,135.051,4,0.412,54,houston rap,houston rap,25,0,0
549,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015,4MRT0dDbhqFKl67WzhUbSw,0.405,0.573,312027,0.495,0.0,8,0.0969,-7.245,0.592,179.196,3,0.255,91,"dance pop,hip pop,pop,pop rap,post-teen pop,queens hip hop",pop,36,0,0
550,Elastic Heart,Sia,2015,6kwAbEjseqBob48jCus7Sz,0.0117,0.421,257200,0.791,1.48e-05,9,0.146,-4.998,0.0496,130.075,4,0.499,90,"australian dance,australian pop,pop",pop,36,0,0
551,Cool For The Summer,Demi Lovato,2015,2zFF6jG5hQArbzcXz3KUWk,0.00425,0.583,214740,0.61,0.000105,5,0.14,-5.639,0.0382,114.06,4,0.336,89,"dance pop,pop,post-teen pop",pop,36,0,0
552,Renegades,X Ambassadors,2015,0fYVliAYKHuPmECRs1pbRf,0.0144,0.526,195200,0.862,0.0597,2,0.229,-6.003,0.0905,90.052,4,0.528,78,"modern alternative rock,modern rock,pop,pop rock,rock,stomp pop",pop,36,0,0
553,I Don't Mind,Usher Featuring Juicy J,2015,7aXuop4Qambx5Oi3ynsKQr,0.205,0.87,251989,0.464,0.0,4,0.0902,-8.337,0.178,112.974,4,0.457,84,"atl hip hop,dance pop,pop,r&b,south carolina hip hop,urban contemporary",pop,36,0,0
554,Love Me Harder,Ariana Grande & The Weeknd,2015,5J4ZkQpzMUFojo1CtAZYpn,0.00937,0.472,236133,0.714,0.0,1,0.0764,-4.389,0.0334,98.992,4,0.24,96,"pop,post-teen pop",pop,36,0,0
555,Wildest Dreams,Taylor Swift,2015,59HjlYCeBsxdI0fcm3zglw,0.0709,0.553,220440,0.664,0.0056,8,0.106,-7.417,0.0741,140.06,4,0.467,98,"pop,post-teen pop",pop,36,0,0
556,Stay With Me,Sam Smith,2015,5Db9VIdDsN5yu3Eu7CT0i4,0.568,0.479,172724,0.419,0.000217,0,0.11,-6.517,0.0389,85.014,4,0.186,88,"dance pop,pop,post-teen pop,uk pop",pop,36,0,0
557,You Know You Like It,DJ Snake & AlunaGeorge,2015,57kR5SniQIbsbVoIjjOUDa,0.0141,0.407,247267,0.725,2.46e-06,5,0.306,-5.346,0.188,196.093,4,0.247,83,"dance pop,edm,electronic trap,pop,pop dance",pop,36,0,0
558,Uma Thurman,Fall Out Boy,2015,5PUawWFG1oIS2NwEcyHaCr,0.103,0.623,211573,0.962,0.000174,4,0.264,-2.616,0.0895,149.963,4,0.676,83,"emo,modern rock,pop punk",modern rock,34,0,0
559,7/11,Beyonce,2015,02M6vucOvmRfMxTXDUwRXu,0.0128,0.747,213507,0.705,0.0,9,0.126,-5.137,0.126,136.024,4,0.56,88,"dance pop,pop,post-teen pop,r&b",pop,36,0,0
560,The Heart Wants What It Wants,Selena Gomez,2015,2dRvMEW4EwySxRUtEamSfG,0.053,0.616,227360,0.789,0.0,7,0.142,-4.874,0.0377,83.066,4,0.621,89,"dance pop,pop,post-teen pop",pop,36,0,0
561,Girl Crush,Little Big Town,2015,11qh54D0PKkBwelpDxxiEU,0.842,0.5,193320,0.225,0.0,0,0.112,-10.22,0.0302,173.788,3,0.355,71,"contemporary country,country,country dawn,country road",contemporary country,12,0,0
562,Slow Motion,Trey Songz,2015,4NYwy0R3NdvORX2B6OZXBT,0.679,0.733,197854,0.408,3.92e-05,7,0.11,-7.834,0.0388,94.947,4,0.291,77,"dance pop,pop,post-teen pop,r&b,urban contemporary",pop,36,0,0
563,Drag Me Down,One Direction,2015,70OTIpw8x8UXUsuCHW9i1i,0.0997,0.723,192107,0.711,0.0,0,0.0528,-5.576,0.0378,138.098,4,0.606,91,"boy band,pop,post-teen pop,talent show",pop,36,0,0
564,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,2015,3keUgTGEoZJt0QkzTB6kHg,0.0743,0.887,219227,0.673,4.06e-05,10,0.124,-6.846,0.0503,105.113,4,0.491,91,"dance pop,hip pop,pop,pop rap,post-teen pop,queens hip hop",pop,36,0,0
565,One Last Time,Ariana Grande,2015,7xoUc6faLbCqZO6fQEYprd,0.093,0.628,197267,0.593,1.65e-06,8,0.096,-5.036,0.0323,125.026,4,0.104,96,"pop,post-teen pop",pop,36,0,0
566,Chains,Nick Jonas,2015,5Eg4TsPcqNbIjd8ADMZosg,0.0151,0.589,203107,0.611,0.0,0,0.0757,-5.881,0.0459,76.006,4,0.121,76,"dance pop,pop,post-teen pop,viral pop",pop,36,0,0
567,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,2015,0hy1SOTEn9ifXTzOwnCwEr,0.0242,0.589,223973,0.658,0.0,11,0.118,-5.288,0.203,77.521,4,0.251,82,"hip hop,philly rap,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
568,No Type,Rae Sremmurd,2015,4scpF6J5uMBvoh6sFB7EL1,0.0158,0.891,200080,0.486,3.78e-06,6,0.0925,-7.803,0.159,125.01,4,0.239,77,"hip hop,melodic rap,mississippi hip hop,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
569,Riptide,Vance Joy,2015,3JvrhDOgAt6p7K8mDyZwRd,0.431,0.484,204280,0.731,0.0,1,0.151,-6.694,0.0379,101.654,4,0.51,79,"folk-pop,modern rock,pop,pop rock",pop,36,0,0
570,Classic Man,Jidenna Featuring Roman GianArthur,2015,3G7XYAwtxtoGK7fAm4IlD9,0.185,0.79,226000,0.585,0.0,8,0.292,-6.058,0.0348,94.072,4,0.585,60,ghanaian hip hop,ghanaian hip hop,22,0,0
571,Ex's & Oh's,Elle King,2015,70eDxAyAraNTiD6lx2ZEnH,0.0183,0.612,202173,0.921,0.0,7,0.0576,-2.882,0.085,139.988,4,0.446,71,modern blues rock,modern blues rock,33,0,0
572,Dear Future Husband,Meghan Trainor,2015,3cU2wBxuV6nFiuf6PJZNlC,0.375,0.655,184227,0.782,0.0,1,0.317,-4.789,0.185,79.427,4,0.832,80,"dance pop,hip pop,pop,post-teen pop",pop,36,0,0
573,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,2015,6ukMqDxnOPOgoHdak7Kyp3,0.417,0.795,190453,0.616,0.0,1,0.349,-5.281,0.06,110.015,4,0.815,83,"dance pop,pop,post-teen pop,viral pop",pop,36,0,0
574,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2015,2YlZnw2ikdb837oKMKjBkW,0.4,0.63,225053,0.53,0.0,0,0.177,-7.259,0.0434,108.038,3,0.417,80,"dance pop,hip pop,pop,post-teen pop",pop,36,0,0
575,Habits (Stay High),Tove Lo,2015,6YL5zD4SggAZAQcdPv5r0C,0.0703,0.733,209160,0.65,6.59e-05,5,0.0829,-3.539,0.0315,110.003,4,0.348,81,"dance pop,electropop,metropopolis,pop,pop rap,post-teen pop,swedish electropop,swedish pop,swedish synthpop",pop,36,0,0
576,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015,416MsJxvxSKY96DCmbJIRs,0.344,0.213,218507,0.0743,3.45e-05,9,0.212,-18.071,0.0408,53.863,4,0.145,68,soundtrack,soundtrack,45,0,0
577,CoCo,O.T. Genasis,2015,2JI71GHwq2LN8mtq3iCLYo,0.00215,0.886,239574,0.628,1.15e-05,8,0.31,-5.949,0.131,119.906,4,0.178,63,"gangster rap,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
578,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2015,0puf9yIluy9W0vpMEUoAnN,0.26,0.706,199387,0.786,0.0,0,0.38,-3.417,0.091,150.028,4,0.751,77,"dance pop,pop,pop rap,post-teen pop",pop,36,0,0
579,Lay Me Down,Sam Smith,2015,1fnCJ85pEhKrpU9IsxoitM,0.753,0.426,253208,0.329,2.23e-05,4,0.11,-9.296,0.0474,121.351,4,0.177,88,"dance pop,pop,post-teen pop,uk pop",pop,36,0,0
580,Tuesday,I LOVE MAKONNEN Featuring Drake,2015,2znzyzlAUc8Z1Ikq9aFOcx,0.215,0.77,321987,0.664,0.000118,0,0.105,-5.604,0.211,140.163,4,0.472,65,"atl hip hop,lgbtq+ hip hop,trap,underground hip hop",trap,46,0,0
581,Hit The Quan,iLoveMemphis,2015,4OjuzM3rTWp3q60mEldNSF,0.000235,0.741,181081,0.488,0.0,8,0.0488,-8.253,0.362,160.018,4,0.625,50,chicago bop,chicago bop,9,0,0
582,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",2015,0lLDaAdXcjOQ7Mf2NXzXay,0.0916,0.828,292593,0.609,1.21e-06,1,0.291,-4.402,0.0694,109.725,4,0.707,78,"dance pop,pop,pop rap,seattle hip hop",pop,36,0,0
583,House Party,Sam Hunt,2015,1TwLKNsCnhi1HxbIi4bAW0,0.113,0.747,190240,0.861,0.0,8,0.026,-5.251,0.0514,103.966,4,0.859,77,"contemporary country,country pop",contemporary country,12,0,0
584,Ayo,Chris Brown & Tyga,2015,0k6DnZMLoEUH8NGD5zh2SE,0.0399,0.823,225227,0.563,0.0,6,0.0851,-5.095,0.0443,98.031,4,0.682,91,"dance pop,pop,pop rap,r&b,rap",pop,36,0,0
585,Kick The Dust Up,Luke Bryan,2015,7wVeIwUxcUddK44joZ3bPO,0.196,0.597,190600,0.86,0.0,1,0.0873,-2.315,0.0461,172.067,4,0.818,80,"contemporary country,country,country road",contemporary country,12,0,0
586,Blessings,Big Sean Featuring Drake,2015,1bzM1cd6oqFozdr4wK6HdR,0.333,0.79,252040,0.621,0.0,1,0.122,-7.634,0.275,118.895,4,0.15,86,"detroit hip hop,hip hop,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
587,Budapest,George Ezra,2015,7q0aQpiLv5tIsupcgQ3Ny4,0.0846,0.717,200733,0.455,0.0,5,0.11,-8.303,0.0276,127.812,4,0.389,76,"folk-pop,modern rock,neo mellow,neo-singer-songwriter,pop,pop rock",pop,36,0,0
588,Chandelier,Sia,2015,4VrWlk8IQxevMvERoX08iC,0.0197,0.399,216120,0.787,6.07e-05,1,0.0685,-2.88,0.0499,117.089,5,0.572,90,"australian dance,australian pop,pop",pop,36,0,0
589,Heartbeat Song,Kelly Clarkson,2015,7FC9Lng8iXU081lbigu8m8,0.0137,0.49,198733,0.798,0.0,6,0.0627,-3.66,0.0489,149.109,4,0.479,78,"dance pop,neo mellow,pop,pop rock,post-teen pop,talent show,urban contemporary",pop,36,0,0
590,Don't,Ed Sheeran,2015,1huvTbEYtgltjQRXzrNKGi,0.0113,0.806,219840,0.608,0.0,1,0.635,-7.008,0.0659,95.049,4,0.849,93,"pop,uk pop",pop,36,0,0
591,Ghost,Ella Henderson,2015,2FiceoWDJ67rrmb5tGBpgE,0.0464,0.682,216107,0.836,3.13e-06,9,0.0797,-3.777,0.0424,104.984,4,0.486,75,"dance pop,indie cafe pop,pop,post-teen pop,talent show,tropical house,uk pop",pop,36,0,0
592,Here,Alessia Cara,2015,1wYZZtamWTQAoj8B812uKQ,0.0785,0.376,199453,0.821,0.0,0,0.0823,-3.974,0.104,120.462,4,0.331,81,"canadian contemporary r&b,canadian pop,dance pop,electropop,pop,post-teen pop",pop,36,0,0
593,Waves,Mr. Probz,2015,2gGIhNmn8NaUr3LNofUIBZ,0.542,0.364,174267,0.278,2.79e-05,5,0.38,-12.262,0.0355,173.652,4,0.2,71,"dutch hip hop,tropical house",tropical house,47,0,0
594,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,2015,3tTjEntiaTWvWK3MA8fcZD,0.256,0.736,206667,0.719,0.0,8,0.0909,-3.839,0.0357,90.013,4,0.656,89,"latin,latin hip hop,reggaeton,trap latino",latin,27,0,0
595,She Knows,Ne-Yo Featuring Juicy J,2015,7seTcUFOhn5caSDbiSfsp0,0.0262,0.706,214726,0.572,0.0,8,0.585,-5.799,0.0326,139.982,4,0.574,82,"dance pop,pop,pop rap,r&b,urban contemporary",pop,36,0,0
596,Night Changes,One Direction,2015,5O2P9iiztwhomNh8xkR9lJ,0.859,0.672,226600,0.52,0.0,8,0.115,-7.747,0.0353,120.001,4,0.37,91,"boy band,pop,post-teen pop,talent show",pop,36,0,0
597,Back To Back,Drake,2015,5lFDtgWsjRJu8fPOAyJIAK,0.00855,0.893,170638,0.48,0.0,1,0.116,-3.728,0.356,86.976,4,0.382,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",pop rap,38,0,0
598,How Deep Is Your Love,Calvin Harris & Disciples,2015,22mek4IiqubGD9ctzxc69s,0.0392,0.738,212640,0.868,0.00169,11,0.388,-4.373,0.0731,122.003,4,0.336,88,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance",pop,36,0,0
599,Love Yourself,Justin Bieber,2016,50kpGaPAhYJ3sGmk6vplg0,0.835,0.609,233720,0.378,0.0,4,0.28,-9.828,0.438,100.418,4,0.515,100,"canadian pop,pop,post-teen pop",pop,36,0,0
600,Sorry,Justin Bieber,2016,09CtPGIpYB4BrO8qb1RGsF,0.0797,0.654,200787,0.76,0.0,0,0.299,-3.669,0.045,99.945,4,0.41,100,"canadian pop,pop,post-teen pop",pop,36,1,1
601,One Dance,Drake Featuring WizKid & Kyla,2016,1zi7xx7UVEFkmKfv06H8x0,0.00776,0.792,173987,0.625,0.0018,1,0.329,-5.609,0.0536,103.967,4,0.37,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",pop rap,38,1,1
602,Work,Rihanna Featuring Drake,2016,32lmL4vQAAotg6MrJnhlQZ,0.0752,0.725,219320,0.534,0.0,11,0.0919,-6.238,0.0946,91.974,4,0.558,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,1,1
603,Stressed Out,twenty one pilots,2016,3CRDbSIZ4r5MsZ0YwxuEkn,0.0462,0.734,202333,0.637,2.29e-05,4,0.0602,-5.677,0.141,169.977,4,0.648,87,"modern rock,rock",modern rock,34,1,1
604,Panda,Desiigner,2016,275a9yzwGB6ncAW4SxY7q3,0.0292,0.685,247867,0.731,0.0,10,0.369,-5.503,0.414,145.245,4,0.266,71,"pop rap,rap,trap,viral trap",pop rap,38,1,1
605,Hello,Adele,2016,4aebBr4JAihzJQR0CiIZJv,0.329,0.47,295502,0.431,0.0,5,0.0854,-6.129,0.0342,157.98,4,0.289,85,"british soul,pop,pop soul,uk pop",pop,36,1,0
606,Don't Let Me Down,The Chainsmokers Featuring Daya,2016,1i1fxkWeaMmKEB4T7zqbzK,0.157,0.532,208373,0.869,0.00508,11,0.136,-5.094,0.172,159.803,4,0.422,85,"dance pop,edm,electropop,pop,pop dance,tropical house",pop,36,1,0
607,Can't Stop The Feeling!,Justin Timberlake,2016,6JV2JOEocMgcZxYSZelKcc,0.0123,0.667,236002,0.83,0.0,0,0.191,-5.715,0.0749,113.03,4,0.701,84,"dance pop,pop",pop,36,1,0
608,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,0.0338,95.01,4,0.661,85,"dance pop,edm,electropop,pop,pop dance,tropical house",pop,36,1,0
609,Cheap Thrills,Sia Featuring Sean Paul,2016,6b3b7lILUJqXcp6w9wNQSm,0.0561,0.592,224813,0.8,2.01e-06,6,0.0775,-4.931,0.215,89.972,4,0.728,90,"australian dance,australian pop,pop",pop,36,1,0
610,7 Years,Lukas Graham,2016,5kqIPrATaCc2LqxVWzQGbk,0.287,0.765,237300,0.473,0.0,10,0.391,-5.829,0.0514,119.992,4,0.34,77,"danish pop,pop,scandipop",pop,36,1,0
611,Needed Me,Rihanna,2016,1Tt4sE4pXi57mTD1GCzsqm,0.11,0.671,191600,0.314,0.0,5,0.0825,-8.091,0.244,110.898,4,0.296,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
612,My House,Flo Rida,2016,6Knv6wdA0luoMUuuoYi2i1,0.0215,0.688,192191,0.702,0.0,7,0.128,-4.792,0.0499,94.006,4,0.74,83,"dance pop,miami hip hop,pop,pop rap",pop,36,0,0
613,I Took A Pill In Ibiza,Mike Posner,2016,1MtUq6Wp1eQ8PC6BbPCj8P,0.0353,0.664,197933,0.714,8.42e-06,7,0.0843,-6.645,0.111,101.969,4,0.71,78,"dance pop,pop,pop rap",pop,36,0,0
614,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016,4tCtwWceOPWzenK2HAIJSb,0.103,0.803,214480,0.585,3.94e-06,8,0.0644,-5.861,0.0432,105.017,4,0.593,75,"dance pop,girl group,pop,post-teen pop,talent show",pop,36,0,0
615,This Is What You Came For,Calvin Harris Featuring Rihanna,2016,0azC730Exh71aQlOt9Zj3y,0.199,0.631,222160,0.927,0.119,9,0.148,-2.787,0.0332,123.962,4,0.465,88,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance",pop,36,0,0
616,Cake By The Ocean,DNCE,2016,76hfruVvmfQbw0eYn1nmeC,0.152,0.774,219147,0.753,0.0,4,0.0371,-5.446,0.0517,119.002,4,0.896,72,"dance pop,pop,pop rock,post-teen pop",pop,36,0,0
617,"Me, Myself & I",G-Eazy x Bebe Rexha,2016,40YcuQysJ0KlGQTeGUosTC,0.0184,0.756,251467,0.674,0.0,0,0.158,-6.518,0.0959,111.995,4,0.389,84,"hip hop,indie pop rap,oakland hip hop,pop rap,rap",pop rap,38,0,0
618,Ride,twenty one pilots,2016,2Z8WuEywRWYTKe1NybPQEW,0.00835,0.645,214507,0.713,0.0,6,0.113,-5.355,0.0393,74.989,4,0.566,87,"modern rock,rock",modern rock,34,0,0
619,Heathens,twenty one pilots,2016,3vZM2544ETmOCCHuBPZRzm,0.0908,0.737,195743,0.476,5.39e-05,4,0.0968,-5.825,0.0262,90.028,4,0.555,87,"modern rock,rock",modern rock,34,0,0
620,Pillowtalk,Zayn,2016,0IKK48xF4eEdfofyaeKWWO,0.104,0.588,203686,0.702,0.0,11,0.089,-4.271,0.0496,124.909,4,0.429,84,"dance pop,pop,post-teen pop,uk pop",pop,36,0,0
621,Stitches,Shawn Mendes,2016,5jsw9uXEGuKyJzs0boZ1bT,0.0151,0.752,206880,0.754,0.0,1,0.0486,-6.684,0.0615,149.789,4,0.755,89,"canadian pop,pop,post-teen pop,viral pop",pop,36,0,0
622,Hotline Bling,Drake,2016,0wwPcA6wtMf6HUMpIRdeP7,0.00258,0.891,267067,0.628,0.00019,2,0.0504,-7.863,0.0551,134.966,4,0.552,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",pop rap,38,0,0
623,Cold Water,Major Lazer Featuring Justin Bieber & MO,2016,7zsXy7vlHdItvUSH8EwQss,0.0736,0.608,185360,0.798,0.0,6,0.156,-5.092,0.0432,92.943,4,0.501,83,"dance pop,edm,electro house,moombahton,pop,pop dance,pop rap",pop,36,0,0
624,Send My Love (To Your New Lover),Adele,2016,3KZcrZ36LW9RnChK1iIkth,0.0356,0.688,223079,0.532,3.08e-06,6,0.172,-8.361,0.0875,164.068,4,0.565,85,"british soul,pop,pop soul,uk pop",pop,36,0,0
625,Roses,The Chainsmokers Featuring Rozes,2016,3vv9phIu6Y1vX3jcqaGz5Z,0.0435,0.713,226739,0.802,0.00377,4,0.309,-7.055,0.0561,100.001,4,0.343,85,"dance pop,edm,electropop,pop,pop dance,tropical house",pop,36,0,0
626,Treat You Better,Shawn Mendes,2016,3QGsuHI8jO1Rx4JWLUh9jd,0.106,0.444,187973,0.819,0.0,10,0.107,-4.078,0.341,82.695,4,0.747,89,"canadian pop,pop,post-teen pop,viral pop",pop,36,0,0
627,Too Good,Drake Featuring Rihanna,2016,3BtuIIrQlkujKPuWF2B85z,0.0489,0.794,263373,0.653,4.88e-05,7,0.1,-7.839,0.104,117.996,4,0.397,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",pop rap,38,0,0
628,Low Life,Future Featuring The Weeknd,2016,7EiZI6JVHllARrX9PUvAdX,0.337,0.722,313547,0.331,0.283,8,0.146,-7.789,0.0725,143.974,4,0.102,91,"atl hip hop,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
629,What Do You Mean?,Justin Bieber,2016,4B0JvthVoAAuygILe3n4Bs,0.59,0.845,205680,0.567,0.00142,5,0.0811,-8.118,0.0956,125.02,4,0.793,100,"canadian pop,pop,post-teen pop",pop,36,0,0
630,The Hills,The Weeknd,2016,7fBv7CLKzipRk6EC6TWHOB,0.0671,0.585,242253,0.564,0.0,0,0.135,-7.063,0.0515,113.003,4,0.137,97,"canadian contemporary r&b,canadian pop,pop",pop,36,0,0
631,Just Like Fire,P!nk,2016,7K5dzhGda2vRTaAWYI3hrb,0.0114,0.632,215414,0.701,0.0,7,0.108,-5.921,0.146,162.958,4,0.497,87,"dance pop,pop,post-teen pop",pop,36,0,0
632,Broccoli,D.R.A.M. Featuring Lil Yachty,2016,7yyRTcZmCiyzzJlNzGC9Ol,0.236,0.886,225205,0.525,0.0,8,0.057,-7.39,0.131,145.99,4,0.708,67,"pop rap,rap,trap,underground hip hop,virginia hip hop",pop rap,38,0,0
633,Don't,Bryson Tiller,2016,3pXF1nA74528Edde4of9CC,0.223,0.765,198293,0.356,0.0,11,0.0963,-5.556,0.195,96.991,4,0.189,81,"kentucky hip hop,pop,pop rap,r&b,rap,trap",pop,36,0,0
634,Dangerous Woman,Ariana Grande,2016,7l94dyN2hX9c6wWcZQuOGJ,0.0529,0.664,235947,0.602,0.0,4,0.356,-5.369,0.0412,134.049,3,0.289,96,"pop,post-teen pop",pop,36,0,0
635,Jumpman,Drake & Future,2016,27GmP9AWRs744SzKcpJsTZ,0.0559,0.852,205879,0.553,0.0,1,0.332,-7.286,0.187,142.079,4,0.656,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",pop rap,38,0,0
636,I Hate U I Love U,gnash Featuring Olivia O'Brien,2016,7vRriwrloYVaoAe3a9wJHe,0.687,0.492,251034,0.275,0.0,6,0.101,-13.4,0.3,92.6,4,0.18,73,"alt z,electropop,indie cafe pop,pop,sad rap",pop,36,0,0
637,Here,Alessia Cara,2016,1wYZZtamWTQAoj8B812uKQ,0.0785,0.376,199453,0.821,0.0,0,0.0823,-3.974,0.104,120.462,4,0.331,81,"canadian contemporary r&b,canadian pop,dance pop,electropop,pop,post-teen pop",pop,36,0,0
638,Same Old Love,Selena Gomez,2016,1BZG99C7Co1r6QUC3zaS59,0.0223,0.672,229080,0.593,0.0,11,0.214,-4.01,0.0304,98.02,4,0.438,89,"dance pop,pop,post-teen pop",pop,36,0,0
639,Controlla,Drake,2016,3O8NlPh2LByMU9lSRSHedm,0.0789,0.59,245227,0.468,0.0,10,0.101,-11.083,0.185,92.287,4,0.349,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",pop rap,38,0,0
640,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2016,2YlZnw2ikdb837oKMKjBkW,0.4,0.63,225053,0.53,0.0,0,0.177,-7.259,0.0434,108.038,3,0.417,80,"dance pop,hip pop,pop,post-teen pop",pop,36,0,0
641,One Call Away,Charlie Puth,2016,7soJgKhQTO8hLP2JPRkL5O,0.403,0.667,194453,0.613,0.0,1,0.115,-5.353,0.0344,91.024,4,0.47,83,"dance pop,pop,post-teen pop,viral pop",pop,36,0,0
642,Let It Go,James Bay,2016,2ggSyGB5HnVvGDGofu3ITZ,0.806,0.566,261160,0.286,1.78e-05,1,0.111,-11.441,0.0292,147.43,4,0.263,78,"modern rock,neo mellow,pop,pop rock",pop,36,0,0
643,No,Meghan Trainor,2016,0l0CvurVUrr2w3Jj1hOVFc,0.0124,0.557,213507,0.803,1.61e-06,1,0.737,-3.599,0.213,92.134,4,0.657,80,"dance pop,hip pop,pop,post-teen pop",pop,36,0,0
644,Never Forget You,Zara Larsson & MNEK,2016,6hmhG1b4LEyNuashVvuIAo,0.00312,0.583,213428,0.732,9.86e-06,11,0.269,-5.728,0.0457,145.992,4,0.276,82,"dance pop,edm,electropop,pop,pop dance,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house",pop,36,0,0
645,Let Me Love You,DJ Snake Featuring Justin Bieber,2016,0lYBSQXN6rCTvUZvg9S0lU,0.0863,0.649,205947,0.716,2.63e-05,8,0.135,-5.371,0.0349,99.988,4,0.163,83,"dance pop,edm,electronic trap,pop,pop dance",pop,36,0,0
646,Don't Mind,Kent Jones,2016,27PmvZoffODNFW2p7ehZTQ,0.0235,0.464,198237,0.771,0.0,8,0.063,-4.503,0.336,158.777,4,0.69,59,"miami hip hop,viral trap",miami hip hop,31,0,0
